dmc_code,name,subdistrict,district,school_group,email,website_url,distance_km,lat,lng
"30020007","จักราชราษฎร์สามัคคี","จักราช","จักราช","จักราช 1","30020007@korat2.go.th","https://jrs.korat2.go.th","0.2","15.01661252","102.4109572"
"30020009","บ้านตะกุดเครือปลอก","จักราช","จักราช","จักราช 1","30020009@korat2.go.th","https://bantakutkhrueaplok.korat2.go.th","2","15.02377495","102.3992499"
"30020010","บ้านโนนพฤกษ์","จักราช","จักราช","จักราช 1","30020010@korat2.go.th","https://bannonphruek.korat2.go.th","3","15.04071176","102.4124635"
"30020044","บ้านสวนปอ","หินโคน","จักราช","จักราช 1","30020044@korat2.go.th","","13","15.02746309","102.497936"
"30020047","บ้านหนองจระเข้หิน","หินโคน","จักราช","จักราช 1","30020047@korat2.go.th","","13.9","14.98319199","102.5142081"
"30020012","บ้านหนองนกกวัก","จักราช","จักราช","จักราช 1","30020012@korat2.go.th","https://nokkwak.korat2.go.th","7.7","14.9978292","102.4685907"
"30020011","บ้านหนองบัวกลาง","จักราช","จักราช","จักราช 1","30020011@korat2.go.th","https://nbk.korat2.go.th","6.7","15.05219542","102.4384864"
"30020045","บ้านหินโคน","หินโคน","จักราช","จักราช 1","30020045@korat2.go.th","https://banhinkhon.korat2.go.th","11","15.00261947","102.4922684"
"30020046","เสมาอุปถัมภ์","หินโคน","จักราช","จักราช 1","30020046@korat2.go.th","","15.7","15.053336","102.497919"
"30020013","หนองพลวงพิทยา","จักราช","จักราช","จักราช 1","30020013@korat2.go.th","https://nongplaungpittaya.korat2.go.th/","6","15.00694868","102.4450831"
"30020030","ขามสงเคราะห์","สีสุก","จักราช","จักราช 2","30020030@korat2.go.th","","15.8","14.8775837","102.3952572"
"30020031","ชุมชนสว่างวิทยา","สีสุก","จักราช","จักราช 2","30020031@korat2.go.th","","14.7","14.8910729","102.4017029"
"30020024","ชุมชนสว่างวิทยา (สาขาบ้านหนองบัวขาว)","สีสุก","จักราช","จักราช 2","30020024@korat2.go.th","","21.2","14.85890932","102.4377291"
"30020025","บ้านโกรกไม้แดง","ศรีละกอ","จักราช","จักราช 2","30020025@korat2.go.th","","14","14.92065163","102.3835659"
"30020026","บ้านโคกสำโรง","ศรีละกอ","จักราช","จักราช 2","30020026@korat2.go.th","","12.1","14.91739234","102.4049371"
"30020020","บ้านช่องโค","ศรีละกอ","จักราช","จักราช 2","30020020@korat2.go.th","","4","14.9846959","102.406998"
"30020019","บ้านโนนตาพรม","ศรีละกอ","จักราช","จักราช 2","30020019@korat2.go.th","","13.1","14.91044853","102.3965461"
"30020028","บ้านบุวังหว้า","สีสุก","จักราช","จักราช 2","30020028@korat2.go.th","","16.9","14.872736","102.396482"
"30020021","บ้านละกอ","ศรีละกอ","จักราช","จักราช 2","30020021@korat2.go.th","https://blk.korat2.go.th","8.4","14.9469905","102.4047078"
"30020029","บ้านหนองไผ่","สีสุก","จักราช","จักราช 2","30020029@korat2.go.th","","23.6","14.85171516","102.3548625"
"30020022","ลุงถ่อนราษฎร์อุทิศ","ศรีละกอ","จักราช","จักราช 2","30020022@korat2.go.th","","16.9","14.89801017","102.4356381"
"30020027","วัดหินมงคล","สีสุก","จักราช","จักราช 2","30020027@korat2.go.th","","20.8","14.86020404","102.3745967"
"30020023","อรพิมพ์วิทยา","ศรีละกอ","จักราช","จักราช 2","30020023@korat2.go.th","","19.1","14.8902441","102.4345022"
"30020032","ชาติวิทยา","หนองขาม","จักราช","จักราช 3","30020032@korat2.go.th","","20.6","14.924579","102.5446474"
"30020001","ไทรทอง","คลองเมือง","จักราช","จักราช 3","30020001@korat2.go.th","https://saithong.korat2.go.th","28","14.82696093","102.5158639"
"30020002","บ้านดงพลอง","คลองเมือง","จักราช","จักราช 3","30020002@korat2.go.th","https://bandongplong.korat2.go.th","24","14.87580491","102.5044374"
"30020003","บ้านทรัพย์เจริญ","คลองเมือง","จักราช","จักราช 3","30020003@korat2.go.th","https://subjarean.korat2.go.th","25","14.838808","102.463567"
"30020033","บ้านโนนทะยุง","หนองขาม","จักราช","จักราช 3","30020033@korat2.go.th","","17.7","14.91467416","102.4983447"
"30020034","บ้านโนนพะไล","หนองขาม","จักราช","จักราช 3","30020034@korat2.go.th","","10.3","14.96254419","102.4647016"
"30020004","บ้านพระนารายณ์","คลองเมือง","จักราช","จักราช 3","30020004@korat2.go.th","","29","14.8299152","102.5056582"
"30020035","บ้านหนองขาม","หนองขาม","จักราช","จักราช 3","30020035@korat2.go.th","","14","14.94697476","102.4919744"
"30020005","บ้านหนองขามน้อย","คลองเมือง","จักราช","จักราช 3","30020005@korat2.go.th","https://nongkhamnoi.korat2.go.th","29","14.8193413","102.4854055"
"30020038","บ้านหนองแมว","หนองขาม","จักราช","จักราช 3","30020038@korat2.go.th","","24.4","14.88005855","102.5414554"
"30020036","ราษฎร์บำรุง","หนองขาม","จักราช","จักราช 3","30020036@korat2.go.th","","13.6","14.94255452","102.4822656"
"30020039","วัดหนองนกคุ่ม","หนองขาม","จักราช","จักราช 3","30020039@korat2.go.th","","20.7","14.90111169","102.5248975"
"30020006","วัดหนองบัวยอดแก้ว","คลองเมือง","จักราช","จักราช 3","30020006@korat2.go.th","https://yodkaew.korat2.go.th","28","14.84470834","102.5369118"
"30020037","สามัคคีวิทยา","หนองขาม","จักราช","จักราช 3","30020037@korat2.go.th","","20.1","14.93989424","102.539186"
"30020040","ชุมชนบ้านบุสามัคคีพัฒนา","หนองพลวง","จักราช","จักราช 4","30020040@korat2.go.th","","10.1","15.0944079","102.3924432"
"30020041","บ้านโคกพระ","หนองพลวง","จักราช","จักราช 4","30020041@korat2.go.th","","11.6","15.08619025","102.3737186"
"30020014","บ้านตูมราษฎร์บูรณะ","ทองหลาง","จักราช","จักราช 4","30020014@korat2.go.th","","11.6","15.04166526","102.3512986"
"30020015","บ้านทองหลาง","ทองหลาง","จักราช","จักราช 4","30020015@korat2.go.th","","16.6","15.05720314","102.3210062"
"30020016","รัฐการุณวิทยา","ทองหลาง","จักราช","จักราช 4","30020016@korat2.go.th","","11.5","15.05804943","102.3656984"
"30020042","วัดหนองจอก","หนองพลวง","จักราช","จักราช 4","30020042@korat2.go.th","","12.1","15.10641157","102.3747897"
"30020043","วัดหนองพลวง","หนองพลวง","จักราช","จักราช 4","30020043@korat2.go.th","","7.3","15.0693766","102.3917082"
"30020017","วัดเหมสูง","ทองหลาง","จักราช","จักราช 4","30020017@korat2.go.th","","14.5","15.0638242","102.3392612"
"30020177","โคกวังวนวิทยา","หนองยาง","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 1","30020169@korat2.go.th","","31.6","14.9220182","102.2430128"
"30020165","ไทรงามเฉลิมพระเกียรติ","ท่าช้าง","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 1","30020165@korat2.go.th","","23.9","15.02006501","102.2706926"
"30020167","โนนตาวิทย์","ท่าช้าง","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 1","30020167@korat2.go.th","","24","15.0160724","102.2807896"
"30020161","บ้านกรูด","ช้างทอง","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 1","30020146@korat2.go.th","","17.9","15.042175","102.320095"
"30020178","บ้านโสง(คุรุประชาสรรค์)","หนองยาง","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 1","30020178@korat2.go.th","","25.7","14.96508584","102.2705741"
"30020179","บ้านหนองบัวโคก","หนองยาง","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 1","30020179@korat2.go.th","","26.6","14.89067274","102.291393"
"30020180","บ้านหนองยาง","หนองยาง","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 1","30020180@korat2.go.th","","29.6","14.9365195","102.2551039"
"30020164","พิมานประชาสันต์","ท่าช้าง","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 1","30020164@korat2.go.th","","15.8","14.92423584","102.3679022"
"30020163","เพชรมาตุคลา","ท่าช้าง","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 1","30020163@korat2.go.th","","22.3","15.00625889","102.2649173"
"30020162","สมบูรณ์วัฒนา","ช้างทอง","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 1","30020162@korat2.go.th","","20.8","15.00806149","102.3021406"
"30020166","อนุบาลท่าช้างเฉลิมพระเกียรติ","ท่าช้าง","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 1","30020166@korat2.go.th","","20.9","15.00326148","102.2796249"
"30020172","ชุมชนวัดรวง","หนองงูเหลือม","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 2","30020173@korat2.go.th","","38.9","15.053611","102.247105"
"30020168","บ้านกันผม","พระพุทธ","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 2","30020168@korat2.go.th","","29.8","15.01120165","102.2321558"
"30020170","บ้านด่านพัฒนา","พระพุทธ","เฉลิมพระเกียรติ","เฉลิมพระเกียรติ 2","30020171@korat2.go.th","","29.4","14.9724869","102.2361951"
